model,duration,best_features,fold,accuracy,f1_score,precision,recall,auc_roc
LightGBM with SHAP Feature Selection,24,"BBP_5_2.0, BBB_5_2.0, S3, ATR, CCI, volume, STOCHd_14_3_3, turnover, MACDh_12_26_9, RSI",2,0.6199040767386091,0.6335260115606938,0.6634382566585957,0.6061946902654868,0.6638963536116389
LightGBM with SHAP Feature Selection,24,"BBP_5_2.0, BBB_5_2.0, volume, S3, ATR, CCI, RSI, STOCHd_14_3_3, avg_vol_last_100, turnover",3,0.5899280575539568,0.5714285714285714,0.6263736263736264,0.5253456221198156,0.6404089861751151
LightGBM with SHAP Feature Selection,24,"BBP_5_2.0, BBB_5_2.0, ATR, CCI, S3, volume, STOCHd_14_3_3, ROC, MACDh_12_26_9, turnover",4,0.6294964028776978,0.6615553121577217,0.6398305084745762,0.6848072562358276,0.6646529689059678
LightGBM with SHAP Feature Selection,24,"BBP_5_2.0, BBB_5_2.0, ATR, CCI, volume, S3, STOCHk_14_3_3, ROC, STOCHd_14_3_3, avg_vol_last_100",5,0.6366906474820144,0.7072463768115942,0.6235093696763203,0.8169642857142857,0.6371553478904515
XGBoost with SHAP Feature Selection,27,"BBP_5_2.0, turnover, low, RSI, ROC, STOCHk_14_3_3, STOCHd_14_3_3, BBB_5_2.0, volume, CCI",1,0.5870445344129555,0.637440758293839,0.6004464285714286,0.6792929292929293,0.6059654516176256
XGBoost with SHAP Feature Selection,27,"BBP_5_2.0, BBB_5_2.0, RSI, ROC, STOCHk_14_3_3, S3, CCI, turnover, volume, STOCHd_14_3_3",2,0.631578947368421,0.6799531066822979,0.651685393258427,0.7107843137254902,0.6437025260554673
XGBoost with SHAP Feature Selection,27,"BBP_5_2.0, BBB_5_2.0, turnover, STOCHk_14_3_3, RSI, CCI, volume, STOCHd_14_3_3, S3, MACDh_12_26_9",3,0.5492577597840755,0.5088235294117647,0.6027874564459931,0.4402035623409669,0.6064534526629815
XGBoost with SHAP Feature Selection,27,"BBP_5_2.0, BBB_5_2.0, S3, STOCHk_14_3_3, RSI, CCI, ROC, turnover, avg_vol_last_100, STOCHd_14_3_3",4,0.5937921727395412,0.6242197253433208,0.6112469437652812,0.6377551020408163,0.6334059411730307
XGBoost with SHAP Feature Selection,27,"BBP_5_2.0, BBB_5_2.0, CCI, S3, STOCHk_14_3_3, ATR, MACD_12_26_9, ROC, RSI, turnover",5,0.5641025641025641,0.5937106918238995,0.5742092457420924,0.6145833333333334,0.6074638188608777
LightGBM with SHAP Feature Selection,27,"BBP_5_2.0, turnover, ROC, CCI, STOCHd_14_3_3, BBB_5_2.0, RSI, S3, ATR, low",1,0.581646423751687,0.6477272727272727,0.5888429752066116,0.7196969696969697,0.5901405357927096
LightGBM with SHAP Feature Selection,27,"BBP_5_2.0, BBB_5_2.0, RSI, turnover, STOCHk_14_3_3, ROC, CCI, MACD_12_26_9, ATR, STOCHd_14_3_3",2,0.6518218623481782,0.701388888888889,0.6644736842105263,0.7426470588235294,0.6766545957722429
LightGBM with SHAP Feature Selection,27,"BBP_5_2.0, BBB_5_2.0, RSI, turnover, STOCHk_14_3_3, STOCHd_14_3_3, CCI, MACDh_12_26_9, ROC, volume",3,0.6194331983805668,0.6577669902912622,0.62877030162413,0.6895674300254453,0.6333903658857595
LightGBM with SHAP Feature Selection,27,"BBP_5_2.0, BBB_5_2.0, RSI, STOCHk_14_3_3, turnover, STOCHd_14_3_3, ROC, CCI, MACDh_12_26_9, avg_vol_last_100",4,0.601889338731444,0.6432889963724305,0.6114942528735632,0.6785714285714286,0.6326311326822993
LightGBM with SHAP Feature Selection,27,"BBP_5_2.0, BBB_5_2.0, S3, CCI, STOCHk_14_3_3, RSI, turnover, MACD_12_26_9, ROC, ATR",5,0.5775978407557355,0.591916558018253,0.5926892950391645,0.5911458333333334,0.6211338702147526
XGBoost with SHAP Feature Selection,30,"BBP_5_2.0, BBB_5_2.0, R3, STOCHk_14_3_3, turnover, volume, ROC, CCI, avg_vol_last_100, S3",1,0.5690690690690691,0.5631659056316591,0.6468531468531469,0.49865229110512127,0.6323815615149162
XGBoost with SHAP Feature Selection,30,"BBP_5_2.0, BBB_5_2.0, volume, turnover, STOCHk_14_3_3, CCI, ROC, STOCHd_14_3_3, avg_vol_last_100, ATR",2,0.5975975975975976,0.6641604010025063,0.625,0.7085561497326203,0.6096165116108709
XGBoost with SHAP Feature Selection,30,"BBP_5_2.0, BBB_5_2.0, volume, STOCHd_14_3_3, turnover, STOCHk_14_3_3, CCI, RSI, MACDh_12_26_9, ROC",3,0.6351351351351351,0.6815203145478375,0.6388206388206388,0.7303370786516854,0.6643167814425518
XGBoost with SHAP Feature Selection,30,"BBP_5_2.0, BBB_5_2.0, R3, turnover, CCI, volume, STOCHk_14_3_3, STOCHd_14_3_3, RSI, ROC",4,0.5990990990990991,0.6244725738396625,0.6065573770491803,0.6434782608695652,0.6295905006998058
XGBoost with SHAP Feature Selection,30,"BBP_5_2.0, BBB_5_2.0, CCI, STOCHk_14_3_3, volume, turnover, S3, R3, STOCHd_14_3_3, RSI",5,0.5855855855855856,0.6863636363636364,0.5541284403669725,0.9014925373134328,0.6653244352256844
LightGBM with SHAP Feature Selection,30,"BBP_5_2.0, BBB_5_2.0, STOCHk_14_3_3, volume, R3, S3, avg_vol_last_100, ROC, turnover, STOCHd_14_3_3",1,0.5615615615615616,0.5050847457627119,0.680365296803653,0.40161725067385445,0.6385764539266298
